제목	가수	링크	앨범아트	장르	
Itte	Yorushika	https://youtu.be/u1Uch0BJOU8	https://image.bugsm.co.kr/album/images/500/133209/13320984.jpg	1:2:3	
Dream land dream world	A·ZU·NA	https://youtu.be/TRzHibBAFJs	https://i.scdn.co/image/ab67616d0000b273f278cec5f2ef1a55dec049e6	1:2:3	
아틀란티스 소녀	볼빨간사춘기	https://www.youtube.com/watch?v=Ht4UGpV3DkE	https://image.bugsm.co.kr/album/images/500/203426/20342611.jpg	1:2:3	
서른 즈음에	김광석	https://www.youtube.com/watch?v=Ht4UGpV3DkE	https://cdnimg.melon.co.kr/cm2/album/images/104/73/661/10473661_20200807142703_500.jpg?9f0d1c5dabfd94b3228504713167161f/melon/resize/282/sharpen/0x1	1:2:3	
어느 60대 노부부 이야기	김광석	https://www.youtube.com/watch?v=WLIHgHUu55Q	https://cdnimg.melon.co.kr/cm/album/images/003/11/488/311488_500.jpg/melon/resize/282/quality/80/optimize	1:2:3	
별을 담은 시	마크툽	https://www.youtube.com/watch?v=llYG9PWOSnU	https://cdnimg.melon.co.kr/cm/album/images/021/36/746/2136746_500.jpg/melon/resize/282/quality/80/optimize	1:2:3	
돌덩이	하현우	https://www.youtube.com/watch?v=QlAFlgmMmAU	https://cdnimg.melon.co.kr/cm2/album/images/104/86/085/10486085_20200904134735_500.jpg?e1b810e1fda795150c16ef4ae4ad8aec/melon/resize/282/quality/80/optimize	1:2:3	
오늘도 빛나는 너에게	마크툽	https://www.youtube.com/watch?v=VcWPHoHbANo	https://cdnimg.melon.co.kr/cm2/album/images/103/85/262/10385262_20200206141416_500.jpg?de3cdcdb80845908583f8e228f4d63da/melon/resize/282/quality/80/optimize	1:2:3	
품	볼빨간사춘기	https://www.youtube.com/watch?v=48y7mAQGxzM	https://cdnimg.melon.co.kr/cm/album/images/102/94/603/10294603_500.jpg?0c56b81bdfc97f7c568a95aad6a7614a/melon/resize/282/quality/80/optimize	1:2:3	
너를 그린 우주	마크툽	https://www.youtube.com/watch?v=pq36r4BWojM	https://cdnimg.melon.co.kr/cm2/album/images/104/27/559/10427559_20200513160836_500.jpg?d1cde84eb4af4387a7888148f8cd1b25/melon/resize/282/quality/80/optimize	1:2:3	
나비와 고양이	볼빨간사춘기	https://www.youtube.com/watch?v=lwqMtcf8EZQ	https://cdnimg.melon.co.kr/cm2/album/images/104/22/586/10422586_20200424153114_500.jpg?6a2234f976647289569d9e3ecc7114c4/melon/resize/282/quality/80/optimize	1:2:3	
Fly away	비투비	https://www.youtube.com/watch?v=0dZnf09g77g	https://cdnimg.melon.co.kr/cm2/album/images/104/27/559/10427559_20200513160836_500.jpg?d1cde84eb4af4387a7888148f8cd1b25/melon/resize/282/quality/80/optimize	1:2:3	
이젠 나만 믿어요	임영웅	https://www.youtube.com/watch?v=1m_QEuYQqlY	https://cdnimg.melon.co.kr/cm/album/images/101/02/658/10102658_500.jpg?6cec8d222561d42eb5d87c6d77cefd68/melon/resize/282/quality/80/optimize	1:2:3	
그대라는 시	태연	https://www.youtube.com/watch?v=wDzBhjhrTRI	https://cdnimg.melon.co.kr/cm2/album/images/104/12/319/10412319_20200403103006_500.jpg?1a1ff62cf6843868fc53b9eaf4c28f86/melon/resize/282/quality/80/optimize	1:2:3	
Viva La Vida	Coldplay	https://www.youtube.com/watch?v=-wwuoWFmgq4	https://cdnimg.melon.co.kr/cm/album/images/102/64/375/10264375_500.jpg?f520343cf02d96609a9aa412a3a1cf6b/melon/resize/282/quality/80/optimize	1:2:3	
Something Just Like This	"The Chainsmokers, Coldplay"	https://www.youtube.com/watch?v=lIyvkOxRXng	https://cdnimg.melon.co.kr/cm/album/images/103/09/213/10309213_500.jpg?587fb02d93ee12ac9d0e2d25fdb82575/melon/resize/282/quality/80/optimize	1:2:3	
바램	임영웅	https://www.youtube.com/watch?v=R8UAFE21BN4	https://cdnimg.melon.co.kr/cm/album/images/004/49/451/449451_500.jpg/melon/resize/282/quality/80/optimize	1:2:3	
Lazenca Save Us	하현우	https://www.youtube.com/watch?v=FM7MFYoylVs	https://cdnimg.melon.co.kr/cm/album/images/100/31/250/10031250_500.jpg?52c63f092719abacde1e71cbf9341e6f/melon/resize/282/quality/80/optimize	1:2:3	
있어줘요	장덕철	https://www.youtube.com/watch?v=QiQkOU7kP6I	https://cdnimg.melon.co.kr/cm2/album/images/103/77/157/10377157_20200117113740_500.jpg?85e87be209a62ebaff2bc7fe49005d4c/melon/resize/282/quality/80/optimize	1:2:3	
내 맘을 볼 수 있나요	헤이즈	https://www.youtube.com/watch?v=J93sUDnruZ4	https://cdnimg.melon.co.kr/cm/album/images/026/89/245/2689245_500.jpg/melon/resize/282/quality/80/optimize	1:2:3	
2002	Anne Marie	https://www.youtube.com/watch?v=ObLF2iSM6kE	https://cdnimg.melon.co.kr/cm2/album/images/103/36/518/10336518_500.jpg?5796e002d8f970bfb9e9ff38b35d2be4/melon/resize/282/quality/80/optimize	1:2:3	
Into the Unknown	Idina Menzel	https://www.youtube.com/watch?v=ANfUH55XtbU	https://cdnimg.melon.co.kr/cm/album/images/103/11/752/10311752_500.jpg?85bd9514af3ef71aad61f0a62080fcea/melon/resize/282/quality/80/optimize	1:2:3	
붉은 노을	YB	https://www.youtube.com/watch?v=vZofi2hgiAE	https://cdnimg.melon.co.kr/cm/album/images/101/37/250/10137250_500.jpg?50e1f74970a36bb3b504a76f87981834/melon/resize/282/quality/80/optimize	1:2:3	
흰수염고래	YB	https://www.youtube.com/watch?v=gIOyB9ZXn8s	https://cdnimg.melon.co.kr/cm2/album/images/103/52/535/10352535_500.jpg?cfd67179295b0cd209fba033e22a7eb3/melon/resize/282/quality/80/optimize	1:2:3	
화려하지 않은 고백	규현	https://www.youtube.com/watch?v=CYH2fxUNjNI	https://cdnimg.melon.co.kr/cm/album/images/022/01/842/2201842_500.jpg?68e8c57d49ac349d584b457074613c88/melon/resize/282/quality/80/optimize	1:2:3	
나만 봄	볼빨간사춘기	https://www.youtube.com/watch?v=v-pjWpCSAVI	https://cdnimg.melon.co.kr/cm/album/images/020/37/979/2037979_500.jpg/melon/resize/282/quality/80/optimize	1:2:3	
My Lady	비투비	https://www.youtube.com/watch?v=CMovxGy_ihI	https://cdnimg.melon.co.kr/cm2/album/images/104/12/335/10412335_20200403104545_500.jpg?f75262e8a32a98c3c0b4d6a699c7fb50/melon/resize/282/quality/80/optimize	1:2:3	
나나나	비투비	https://www.youtube.com/watch?v=3nxbVGl-yzE	https://cdnimg.melon.co.kr/cm/album/images/102/68/898/10268898_500.jpg?7c9e3cfcf193fc9ec4b6bd6a2b3ec24c/melon/resize/282/quality/80/optimize	1:2:3	
Last Day	비투비	https://www.youtube.com/watch?v=zDnMTjM57Os	https://cdnimg.melon.co.kr/cm/album/images/101/02/658/10102658_500.jpg?6cec8d222561d42eb5d87c6d77cefd68/melon/resize/282/quality/80/optimizee	1:2:3	
취해	비투비	https://www.youtube.com/watch?v=m0zn8KuVnfE	https://cdnimg.melon.co.kr/cm/album/images/101/02/658/10102658_500.jpg?6cec8d222561d42eb5d87c6d77cefd68/melon/resize/282/quality/80/optimize	1:2:3	
Dolphin	오마이걸	https://www.youtube.com/watch?v=V80HHF1Nj_c	https://cdnimg.melon.co.kr/cm/album/images/026/44/202/2644202_500.jpg/melon/resize/282/quality/80/optimize	1:2:3	
덤디덤디	(여자)아이들	https://www.youtube.com/watch?v=Fd3Bn_Z04P0	https://cdnimg.melon.co.kr/cm/album/images/100/12/901/10012901_500.jpg?3862ae0194ac120944a4cd67207930c6/melon/resize/282/quality/80/optimize	1:2:3	
Memories	Maroon5	https://www.youtube.com/watch?v=SvWidiKtj6U	https://cdnimg.melon.co.kr/cm2/album/images/104/23/289/10423289_20200427153909_500.jpg?33a9f621c154722d51621a0ba45dd402/melon/resize/282/quality/80/optimize	1:2:3	
"모든 날, 모든 순간"	폴킴	https://www.youtube.com/watch?v=JIKqqPQ-0Ow	https://cdnimg.melon.co.kr/cm2/album/images/104/70/992/10470992_20200803154248_500.jpg?c0a9f9461e3259c788c25136bdccfa1f/melon/resize/282/sharpen/0x1	1:2:3	
비	폴킴	https://www.youtube.com/watch?v=Ehs0RFVAhXw	https://cdnimg.melon.co.kr/cm2/album/images/103/30/593/10330593_500.jpg?fda44608f829e56113e3b111302629a7/melon/resize/282/quality/80/optimize	1:2:3	
안녕	폴킴	https://www.youtube.com/watch?v=P94SfHo2Gts	https://cdnimg.melon.co.kr/cm/album/images/101/49/492/10149492_500.jpg?fa24fa8eabdd1e9e13759225831e2eec/melon/resize/282/quality/80/optimize	1:2:3	
시간을 달려서	여자친구	https://www.youtube.com/watch?v=9jFZdu0zTEA	https://cdnimg.melon.co.kr/cm/album/images/026/92/501/2692501_500.jpg/melon/resize/282/quality/80/optimize	1:2:3	
OOH-AHH하게	TWICE	https://www.youtube.com/watch?v=UidhQTm1ulw	https://cdnimg.melon.co.kr/cm2/album/images/103/17/137/10317137_500.jpg?04379f77042df907730f26c136957d65/melon/resize/282/quality/80/optimize	1:2:3	
오래된 노래	스탠딩 에그	https://www.youtube.com/watch?v=u5HbBIcJFmM	https://cdnimg.melon.co.kr/cm/album/images/026/63/668/2663668_500.jpg/melon/resize/282/quality/80/optimize	1:2:3	
오래된 노래	김동률	https://www.youtube.com/watch?v=8BgIHJvTeCU	https://cdnimg.melon.co.kr/cm/album/images/026/45/617/2645617_500.jpg/melon/resize/282/quality/80/optimize	1:2:3	
그대 고운 내 사랑	어반자카파	https://www.youtube.com/watch?v=H23rF-rlxD4	https://cdnimg.melon.co.kr/cm/album/images/021/48/596/2148596_500.jpg/melon/resize/282/quality/80/optimize	1:2:3	
그려본다	비투비	https://www.youtube.com/watch?v=tVa7tJX8gxk	https://cdnimg.melon.co.kr/cm2/album/images/104/76/364/10476364_20200814102717_500.jpg?f26af88c92740c1a1c516e6149cb6e74/melon/resize/282/quality/80/optimize	1:2:3	
